City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,pevek,69.7008,170.3133,-35.37,94,82,1.46,RU,1674437068
84,ambilobe,-13.2,49.05,22.25,95,100,0.84,MG,1674437069
85,kawhia,-38.0651,174.8183,25.84,57,17,3.56,NZ,1674437069
86,kulhudhuffushi,6.6221,73.07,26.44,72,94,2.56,MV,1674437069
87,guerrero negro,27.9769,-114.0611,14.9,66,0,7.18,MX,1674437070
88,yuzha,56.5831,42.0122,-18.41,100,99,1.5,RU,1674437070
89,nikolskoye,59.7035,30.7861,-5.06,95,98,1.01,RU,1674437071
90,grindavik,63.8424,-22.4338,1.26,60,75,7.2,IS,1674437071
91,mangrol,21.1167,70.1167,15.06,55,1,6.27,IN,1674437071
92,fortuna,40.5982,-124.1573,9.81,76,0,7.2,US,1674437072
93,tuktoyaktuk,69.4541,-133.0374,-16.0,85,100,3.6,CA,1674437072
94,san cristobal,7.7669,-72.225,21.1,75,60,0.84,VE,1674437072
95,sheksna,59.21,38.5107,-18.06,100,79,1.75,RU,1674437074
96,polna,49.487,15.7188,0.39,94,100,1.25,CZ,1674437074
97,moron,-34.6534,-58.6198,28.32,51,40,2.57,AR,1674437074
98,ponta do sol,32.6667,-17.1,17.35,56,45,3.45,PT,1674437075
99,lata,40.1629,-8.3327,5.04,70,6,1.81,PT,1674437077
100,mar del plata,-38.0023,-57.5575,19.97,82,0,4.92,AR,1674437077
101,dapaong,10.8639,0.205,25.91,17,41,1.85,TG,1674437077
102,havre-saint-pierre,50.2334,-63.5986,-4.0,86,100,2.57,CA,1674437078
103,hofn,64.2539,-15.2082,0.42,57,88,5.06,IS,1674437078
104,kosino,58.4127,51.2782,-24.12,100,99,0.48,RU,1674437079
105,taber,49.8167,-112.1518,-1.0,83,2,3.09,CA,1674437079
106,grand gaube,-20.0064,57.6608,25.22,84,100,0.89,MU,1674437080
107,hvolsvollur,63.7533,-20.2243,-2.5,73,84,0.49,IS,1674437080
108,nome,64.5011,-165.4064,-18.96,55,0,0.0,US,1674437080
109,verkhnyaya inta,65.9811,60.3094,-7.16,93,100,7.08,RU,1674437081
110,faanui,-16.4833,-151.75,26.58,69,100,1.54,PF,1674437082
111,yellowknife,62.456,-114.3525,-28.23,96,37,2.08,CA,1674436845
112,pisco,-13.7,-76.2167,23.03,73,0,4.63,PE,1674437082
113,dokka,60.84,10.0618,-14.13,92,100,1.08,NO,1674437083
114,norman wells,65.282,-126.8329,-24.98,84,40,1.03,CA,1674437083
115,riyadh,24.6877,46.7219,13.08,59,84,3.77,SA,1674437079
116,grafelfing,48.1188,11.4294,-3.97,94,100,0.0,DE,1674437084
117,berlevag,70.8578,29.0864,2.0,64,98,15.95,NO,1674437084
118,maarianhamina,60.0973,19.9348,-1.08,93,100,5.14,AX,1674437085
119,jiujiang,29.7333,115.9833,6.94,80,100,5.47,CN,1674437085
120,tommot,58.9564,126.2925,-32.94,94,100,4.53,RU,1674437086
121,bethel,41.3712,-73.414,3.3,85,100,1.54,US,1674437086
122,tarko-sale,64.9225,77.785,-18.4,97,100,3.92,RU,1674437087
123,port elizabeth,-33.918,25.5701,21.84,92,100,1.34,ZA,1674436989
124,ko samui,9.5357,99.9357,26.95,83,20,0.0,TH,1674436800
125,carnarvon,-24.8667,113.6333,25.56,68,76,7.32,AU,1674437088
126,tooele,40.5308,-112.2983,-5.23,91,100,2.06,US,1674437089
127,bredasdorp,-34.5322,20.0403,18.59,88,0,2.59,ZA,1674437089
128,nuuk,64.1835,-51.7216,-2.26,89,100,17.21,GL,1674437089
129,baykit,61.67,96.37,-30.27,96,100,1.57,RU,1674437090
130,bengkulu,-3.8004,102.2655,22.78,96,100,1.96,ID,1674436896
131,ilulissat,69.2167,-51.1,-5.99,73,100,5.66,GL,1674437091
132,lensk,60.7253,114.9278,-34.61,90,100,5.83,RU,1674437091
133,kibre mengist,5.8833,38.9833,11.73,70,93,1.37,ET,1674437091
134,bluefields,12.0137,-83.7635,23.57,89,5,3.1,NI,1674437092
